Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-11-18,Gifted,2017,https://boxd.it/lIr3D,3,,,2017-11-18
2017-11-20,The Handmaiden,2016,https://boxd.it/lM261,4,,,2017-11-19
2017-11-20,The Perks of Being a Wallflower,2012,https://boxd.it/lMlrx,3,,,2017-11-19
2017-11-21,Wonder,2017,https://boxd.it/lNVlR,3,,,2017-11-21
2017-11-22,Miss Hokusai,2015,https://boxd.it/lOiZv,3,,,2017-11-21
2017-11-27,The Boss Baby,2017,https://boxd.it/lYw8l,1.5,,,2017-11-26
2017-11-28,Howl's Moving Castle,2004,https://boxd.it/lZQdd,5,,,2017-11-27
2017-11-29,Coco,2017,https://boxd.it/m1BIz,4,,,2017-11-28
2017-12-03,Captain Underpants: The First Epic Movie,2017,https://boxd.it/m7OPv,3.5,,,2017-12-02
2017-12-03,Valerian and the City of a Thousand Planets,2017,https://boxd.it/m8osx,2.5,,,2017-12-03
2017-12-03,The Book of Life,2014,https://boxd.it/m8sJH,5,Yes,,2017-12-03
2017-12-05,Murder on the Orient Express,2017,https://boxd.it/mccjV,3,,,2017-12-03
2017-12-07,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/mf6L1,4.5,,,2017-12-06
2017-12-08,The Rocketeer,1991,https://boxd.it/mgCzD,3.5,Yes,,2017-12-07
2017-12-09,The Disaster Artist,2017,https://boxd.it/miolV,3.5,,,2017-12-09
2017-12-10,Lady Bird,2017,https://boxd.it/mkuEj,4.5,,,2017-12-09
2017-12-13,Geometria,1987,https://boxd.it/mq5Wp,,,,2017-12-12
2017-12-13,Cronos,1993,https://boxd.it/mqcGj,3.5,,,2017-12-12
2017-12-23,Downsizing,2017,https://boxd.it/mIbU1,2.5,,,2017-12-22
2017-12-23,Ferdinand,2017,https://boxd.it/mIbWV,3,,,2017-12-22
2017-12-24,Star Wars: The Last Jedi,2017,https://boxd.it/mIZoz,3.5,,,2017-12-23
2017-12-24,Star Wars: The Force Awakens,2015,https://boxd.it/mK7P1,4,Yes,,2017-12-23
2017-12-28,Fried Green Tomatoes,1991,https://boxd.it/mU8wp,4.5,Yes,,2017-12-28
2017-12-29,The Shape of Water,2017,https://boxd.it/mWpqH,4.5,,,2017-12-28
2017-12-29,But I'm a Cheerleader,1999,https://boxd.it/mWr0V,3,,,2017-12-29
2017-12-30,Your Name.,2016,https://boxd.it/mZ01D,4,Yes,,2017-12-29
2017-12-30,Spider-Man: Homecoming,2017,https://boxd.it/mZ0td,3.5,Yes,,2017-12-29
2018-01-02,The Greatest Showman,2017,https://boxd.it/n76y5,3,,,2018-01-01
2018-01-02,Jumanji: Welcome to the Jungle,2017,https://boxd.it/n7sCt,3.5,,,2018-01-01
2018-01-02,Sixteen Candles,1984,https://boxd.it/n89Fv,3,,,2018-01-02
2018-01-03,Quest for Camelot,1998,https://boxd.it/napCh,2.5,,,2018-01-02
2018-01-04,Elvis Has Left the Building,2004,https://boxd.it/ndGlj,3,,,2018-01-03
2018-01-05,Absolutely Anything,2015,https://boxd.it/nfAx3,2.5,,,2018-01-04
2018-01-06,The Way He Looks,2014,https://boxd.it/niME7,4,,,2018-01-04
2018-01-05,I Don't Want to Go Back Alone,2010,https://boxd.it/ngOBP,4,,,2018-01-05
2018-01-06,Jumanji: Welcome to the Jungle,2017,https://boxd.it/niMq5,3.5,Yes,,2018-01-05
2018-01-06,Jumanji,1995,https://boxd.it/nj4PR,4,Yes,,2018-01-06
2021-01-11,Melody Time,1948,https://boxd.it/1zWRX5,,,,2018-01-06
2018-01-08,Pitch Perfect 3,2017,https://boxd.it/noLqF,1.5,,,2018-01-07
2018-01-12,Darkest Hour,2017,https://boxd.it/nyChJ,3,,,2018-01-09
2018-01-12,Angels in the Outfield,1994,https://boxd.it/nyyhl,3,,,2018-01-11
2018-01-14,Cashback,2004,https://boxd.it/nCt8h,,,,2018-01-13
2018-01-14,Cashback,2006,https://boxd.it/nCLbt,2.5,,,2018-01-13
2018-01-14,Bend It Like Beckham,2002,https://boxd.it/nDnBJ,4,,,2018-01-13
2018-01-14,We're Back! A Dinosaur's Story,1993,https://boxd.it/nDBpx,1.5,,,2018-01-13
2018-01-15,The Book of Life,2014,https://boxd.it/nGgep,5,Yes,,2018-01-14
2018-01-15,Proud Mary,2018,https://boxd.it/nGQUB,3,,,2018-01-14
2018-01-17,Get Out,2017,https://boxd.it/nLyXx,4.5,Yes,,2018-01-17
2018-01-18,1776,1972,https://boxd.it/nMOoF,3,,,2018-01-17
2018-01-18,The Birdcage,1996,https://boxd.it/nN4S7,4,,,2018-01-17
2018-01-19,Mary and the Witch's Flower,2017,https://boxd.it/nPK9R,3.5,,,2018-01-18
2018-01-20,Icarus,2017,https://boxd.it/nRM31,4,,,2018-01-19
2018-01-20,Transamerica,2005,https://boxd.it/nRLPX,3,,,2018-01-20
2018-01-21,Paddington,2014,https://boxd.it/nUoUB,3.5,,,2018-01-21
2018-01-23,Chasing Amy,1997,https://boxd.it/nZ3N5,2,,,2018-01-22
2018-01-23,How to Train Your Dragon 2,2014,https://boxd.it/nZ3QN,4.5,Yes,,2018-01-22
2018-01-25,The Big Sick,2017,https://boxd.it/o2ZsF,4.5,Yes,,2018-01-24
2018-01-27,Where the Heart Is,2000,https://boxd.it/o6VSH,1.5,,,2018-01-26
2018-01-28,The Room,2003,https://boxd.it/o9w31,1,,,2018-01-27
2018-02-03,"I, Tonya",2017,https://boxd.it/omjYz,4,,,2018-02-02
2018-02-04,The Shape of Water,2017,https://boxd.it/op1mj,4.5,Yes,,2018-02-03
2018-02-04,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/opaU5,3.5,,,2018-02-04
2018-02-05,The Post,2017,https://boxd.it/oqL4H,3.5,,,2018-02-04
2018-02-07,Mudbound,2017,https://boxd.it/ovJGJ,4,,,2018-02-07
2018-02-08,What We Do in the Shadows,2014,https://boxd.it/oxmOz,4,Yes,,2018-02-07
2018-02-11,Phantom Thread,2017,https://boxd.it/oDBtN,2,,,2018-02-09
2018-02-11,The Greatest Showman,2017,https://boxd.it/oDBzr,3,Yes,,2018-02-10
2018-02-12,Heathers,1988,https://boxd.it/oEXQh,4,Yes,,2018-02-11
2018-02-12,Peter Rabbit,2018,https://boxd.it/oFfHn,3,,,2018-02-11
2018-02-14,Winchester,2018,https://boxd.it/oKvCN,2,,,2018-02-13
2018-02-15,The Night Before,2015,https://boxd.it/oMvzj,3,,,2018-02-14
2018-02-17,The Cabin in the Woods,2011,https://boxd.it/oQ2Gj,3.5,,,2018-02-16
2018-02-17,The Goonies,1985,https://boxd.it/oQ2J3,,,,2018-02-16
2018-06-16,The Road to El Dorado,2000,https://boxd.it/t8dGr,3,,,2018-02-16
2018-06-16,The Evil Dead,1981,https://boxd.it/t8dHT,4,,,2018-02-16
